route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
13,Saturday,1752,City Center,1,172,207,0,0
13,Saturday,1813,Van Mall TC,0,172,206,0,0
13,Saturday,1757,City Center,1,172,207,0,0
13,Saturday,1818,Van Mall TC,0,172,206,0,0
13,Saturday,1762,City Center,1,172,207,0,0
13,Saturday,1823,Van Mall TC,0,172,206,0,0
13,Saturday,1767,City Center,1,172,207,0,0
13,Saturday,1828,Van Mall TC,0,172,206,0,0
13,Saturday,1772,City Center,1,172,207,0,0
13,Saturday,1833,Van Mall TC,0,172,206,0,0
13,Saturday,1777,City Center,1,172,207,0,0
13,Saturday,1838,Van Mall TC,0,172,206,0,0
13,Saturday,1781,City Center,1,172,207,0,0
13,Saturday,1842,Van Mall TC,0,172,206,0,0
13,Saturday,1849,City Center,1,173,207,0,0
13,Saturday,1850,Van Mall TC,0,173,206,0,0
13,Saturday,1729,City Center,1,173,207,0,0
13,Saturday,1790,Van Mall TC,0,173,206,0,0
13,Saturday,1731,City Center,1,173,207,0,0
13,Saturday,1792,Van Mall TC,0,173,206,0,0
13,Saturday,1735,City Center,1,173,207,0,0
13,Saturday,1796,Van Mall TC,0,173,206,0,0
13,Saturday,1740,City Center,1,173,207,0,0
13,Saturday,1801,Van Mall TC,0,173,206,0,0
13,Saturday,1745,City Center,1,173,207,0,0
13,Saturday,1806,Van Mall TC,0,173,206,0,0
13,Saturday,1750,City Center,1,173,207,0,0
13,Saturday,1811,Van Mall TC,0,173,206,0,0
13,Saturday,1755,City Center,1,173,207,0,0
13,Saturday,1816,Van Mall TC,0,173,206,0,0
13,Saturday,1760,City Center,1,173,207,0,0
13,Saturday,1821,Van Mall TC,0,173,206,0,0
13,Saturday,1765,City Center,1,173,207,0,0
13,Saturday,1826,Van Mall TC,0,173,206,0,0
13,Saturday,1770,City Center,1,173,207,0,0
13,Saturday,1831,Van Mall TC,0,173,206,0,0
13,Saturday,1775,City Center,1,173,207,0,0
13,Saturday,1836,Van Mall TC,0,173,206,0,0
13,Saturday,1780,City Center,1,173,207,0,0
13,Saturday,1841,Van Mall TC,0,173,206,0,0
13,Saturday,1783,City Center,1,173,207,0,0
13,Saturday,1844,Van Mall TC,0,173,206,0,0
13,Saturday,1785,City Center,1,173,207,0,0
13,Saturday,1846,Van Mall TC,0,173,206,0,0
13,Saturday,1787,City Center,1,173,207,0,0
13,Saturday,1848,Van Mall TC,0,173,206,0,0
13,Saturday,1733,City Center,1,174,207,0,0
13,Saturday,1794,Van Mall TC,0,174,206,0,0
13,Saturday,1738,City Center,1,174,207,0,0
13,Saturday,1799,Van Mall TC,0,174,206,0,0
13,Saturday,1743,City Center,1,174,207,0,0
13,Saturday,1804,Van Mall TC,0,174,206,0,0
13,Saturday,1748,City Center,1,174,207,0,0
13,Saturday,1809,Van Mall TC,0,174,206,0,0
13,Saturday,1753,City Center,1,174,207,0,0
13,Saturday,1814,Van Mall TC,0,174,206,0,0
13,Saturday,1758,City Center,1,174,207,0,0
