stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
720,101,Parkrose/Sumner Transit Center,,45.558762,-122.564507,,,0,,,0
268,801,Main & 45th St [sb],,45.654221,-122.666748,,,0,,,0
47,2844,Lincoln & 46th St [sb],,45.65514,-122.682564,,,0,,,0
506,2125,NW 6th Ave 400 Block [wb],,45.585072,-122.413033,,,0,,,0
633,3361,Mill Plain & Lieser Rd [wb],,45.62328,-122.58461,,,0,,,0
382,1146,Evergreen Blvd 2500 Block,,45.625938,-122.645218,,,0,,,0
189,2203,NE 112th Ave 3300 Block,,45.647129,-122.558128,,,0,,,0
999,6040,Rasmussen & Parkway Ave,,45.775002,-122.536919,,,0,,,0
203,3102,NE 39th St & 162nd Ave,,45.650398,-122.506851,,,0,,,0
518,796,Hazel Dell Ave & 68th St [sb],,45.67112,-122.667976,,,0,,,0
727,1085,Fourth Plain & 112th Ave [eb],,45.665798,-122.558327,,,0,,,0
943,5004,SW 5th & Main,,45.51627,-122.679016,,,0,,,0
446,2314,NE 3rd Ave & E First Ave,,45.588829,-122.392616,,,0,,,0
299,1015,St Johns & 78th St [sb],,45.67815,-122.625809,,,0,,,0
155,2381,W Main St & 12th Ave,,45.780609,-122.54953,,,0,,,0
835,1312,Mill Plain 16000 Block,,45.615608,-122.506706,,,0,,,0
343,2673,Evergreen Blvd 400 Block [wb],,45.628761,-122.667999,,,0,,,0
1124,6166,65th Avenue [eb],,45.644112,-122.604408,,,0,,,0
702,4149,Hazel Dell Ave 4900 Block [nb],,45.657242,-122.666878,,,0,,,0
1050,6119,NE 99th St & Hwy 99 [wb],,45.693169,-122.655975,,,0,,,0
843,3307,NE 112th Ave & 28th St [nb],,45.643333,-122.5578,,,0,,,0
462,1215,Mill Plain & 92nd Ave [eb],,45.621937,-122.578018,,,0,,,0
610,3303,Grand & 13th St,,45.630199,-122.640762,,,0,,,0
520,739,Hazel Dell Ave & Repass Rd,,45.675369,-122.668404,,,0,,,0
766,2161,Gher Rd & Fourth Plain Blvd [sb],,45.664551,-122.561256,,,0,,,0
160,828,W Main St & SW 3rd Ave [eb],,45.78075,-122.540031,,,0,,,0
585,3234,NE 162nd Ave & 23rd St [nb],,45.639851,-122.505997,,,0,,,0
388,1142,Evergreen Blvd & Harney Wy [wb],,45.623951,-122.629211,,,0,,,0
751,1320,Mill Plain & 164th Ave [wb],,45.615749,-122.505142,,,0,,,0
53,2847,W 39th St & Kauffman [eb],,45.650021,-122.681427,,,0,,,0
181,936,NE 112th Ave & 51st St [sb],,45.658371,-122.558121,,,0,,,0
666,3347,NE 99th St & 144th Ct,,45.693699,-122.524452,,,0,,,0
1128,6170,86th Avenue [wb],,45.650593,-122.584351,,,0,,,0
474,1224,Mill Plain & 131st Ave [eb],,45.618938,-122.536728,,,0,,,0
819,1132,Andresen & Fourth Plain [sb],,45.64378,-122.600861,,,0,,,0
