,tripID,OPD_DATE,vehicleID,distance,ACT_TIME,origLongitude,origLatitude,TIMESTAMP,correctedLatitude,correctedLongitude
186,152570206,02-MAR-20,1776,15934,22117,-122.666868,45.667512,02-MAR-2022117,45.62258478161189,-122.67249424739079
187,152570206,02-MAR-20,1776,16065,22122,-122.66728,45.666365,02-MAR-2022122,45.62216745488399,-122.67290769950901
188,152570206,02-MAR-20,1776,16199,22127,-122.66743999999998,45.665163,02-MAR-2022127,45.62124731432105,-122.67349756039032
189,152570206,02-MAR-20,1776,16335,22132,-122.66734199999999,45.663940000000004,02-MAR-2022132,45.62070985934743,-122.67381827910701
190,152570206,02-MAR-20,1776,16468,22137,-122.66698799999999,45.662762,02-MAR-2022137,45.62011696648044,-122.67417207185508
191,152570206,02-MAR-20,1776,16600,22142,-122.666527,45.661613,02-MAR-2022142,45.61954188746371,-122.67451522689987
192,152570206,02-MAR-20,1776,16732,22147,-122.66606000000002,45.660462,02-MAR-2022147,45.61895076293133,-122.67486794847915
193,152570206,02-MAR-20,1776,16868,22152,-122.66558799999999,45.659287,02-MAR-2022152,45.618345761129774,-122.67522894219634
194,152570206,02-MAR-20,1776,17003,22157,-122.665108,45.658103000000004,02-MAR-2022157,45.617726576429895,-122.67560044220184
195,152570206,02-MAR-20,1776,17136,22162,-122.66464199999999,45.65695,02-MAR-2022162,45.61706790433449,-122.67599695102705
196,152570206,02-MAR-20,1776,17266,22167,-122.66418700000001,45.655812,02-MAR-2022167,45.61637249575659,-122.67641556355318
197,152570206,02-MAR-20,1776,17395,22172,-122.66373,45.654697,02-MAR-2022172,45.61563930293533,-122.67685690867978
198,152570206,02-MAR-20,1776,17521,22177,-122.663283,45.653597999999995,02-MAR-2022177,45.61488001942158,-122.67731394584614
199,152570206,02-MAR-20,1776,17646,22182,-122.66283999999999,45.652512,02-MAR-2022182,45.614144063669045,-122.67776273154396
200,152570206,02-MAR-20,1776,17766,22187,-122.662402,45.651472,02-MAR-2022187,45.69292403245989,-122.6642255646929
201,152570206,02-MAR-20,1776,17879,22192,-122.662052,45.650472,02-MAR-2022192,45.69292397790873,-122.66422397644071
202,152570206,02-MAR-20,1776,18093,22202,-122.661892,45.64855,02-MAR-2022202,45.69291859682966,-122.6640673099774
203,152570206,02-MAR-20,1776,18195,22207,-122.66190300000001,45.647625,02-MAR-2022207,45.6929084026321,-122.66364710938159
204,152570206,02-MAR-20,1776,18300,22212,-122.661923,45.646685,02-MAR-2022212,45.69289980052394,-122.66304760825828
205,152570206,02-MAR-20,1776,18403,22217,-122.66193999999999,45.645745,02-MAR-2022217,45.692896750052995,-122.66250315083926
206,152570206,02-MAR-20,1776,18500,22222,-122.66196000000001,45.644867,02-MAR-2022222,45.69274037675505,-122.66214314907303
207,152570206,02-MAR-20,1776,18591,22227,-122.661975,45.644045,02-MAR-2022227,45.69244305959459,-122.66205871889629
208,152570206,02-MAR-20,1776,18677,22232,-122.661992,45.643263,02-MAR-2022232,45.692047645943596,-122.66225423426181
209,152570206,02-MAR-20,1776,18763,22237,-122.662007,45.642487,02-MAR-2022237,45.69155671524645,-122.66247687682689
210,152570206,02-MAR-20,1776,18855,22242,-122.662022,45.641657,02-MAR-2022242,45.69098229460173,-122.66271460831008
211,152570206,02-MAR-20,1776,18950,22247,-122.662038,45.640802,02-MAR-2022247,45.690318945580024,-122.66300931720203
212,152570206,02-MAR-20,1776,19048,22252,-122.66205500000001,45.639917,02-MAR-2022252,45.689577870605184,-122.66336985828438
213,152570206,02-MAR-20,1776,19148,22257,-122.66207299999999,45.63901,02-MAR-2022257,45.688738096743,-122.66363957033145
214,152570206,02-MAR-20,1776,19251,22262,-122.66209199999999,45.638085,02-MAR-2022262,45.687859164231504,-122.66400988359891
215,152570206,02-MAR-20,1776,19354,22267,-122.66219199999999,45.637157,02-MAR-2022267,45.686909,-122.664317
216,152570206,02-MAR-20,1776,19457,22272,-122.66245500000001,45.63624,02-MAR-2022272,45.68589690614631,-122.66454949908602
217,152570206,02-MAR-20,1776,19557,22277,-122.66286799999999,45.635377000000005,02-MAR-2022277,45.684825777263725,-122.66470008526817
218,152570206,02-MAR-20,1776,19651,22282,-122.66334199999999,45.634583,02-MAR-2022282,45.683702899816,-122.66473205560904
219,152570206,02-MAR-20,1776,19742,22287,-122.663798,45.633828,02-MAR-2022287,45.68253357422967,-122.66471157960997
220,152570206,02-MAR-20,1776,19834,22292,-122.66426200000001,45.633062,02-MAR-2022292,45.68133249252361,-122.66469357097856
221,152570206,02-MAR-20,1776,19924,22297,-122.66471499999999,45.632308,02-MAR-2022297,45.68013755456427,-122.6646759517287
222,152570206,02-MAR-20,1776,20015,22302,-122.665172,45.631552,02-MAR-2022302,45.6789609776831,-122.66465464043614
223,152570206,02-MAR-20,1776,20108,22307,-122.66564299999999,45.630773,02-MAR-2022307,45.67776709063464,-122.66464563553065
224,152570206,02-MAR-20,1776,20209,22312,-122.66614799999999,45.629934999999996,02-MAR-2022312,45.67653993529126,-122.66464748584772
225,152570206,02-MAR-20,1776,20314,22317,-122.66667199999999,45.629067,02-MAR-2022317,45.67531230612416,-122.66464561698353
226,152570206,02-MAR-20,1776,20418,22322,-122.667203,45.628195,02-MAR-2022322,45.67410330310669,-122.66463217272694
227,152570206,02-MAR-20,1776,20522,22327,-122.667728,45.627327,02-MAR-2022327,45.67295731146963,-122.6646504293163
228,152570206,02-MAR-20,1776,20626,22332,-122.66826200000001,45.626465,02-MAR-2022332,45.67186234216522,-122.66475758111386
229,152570206,02-MAR-20,1776,20727,22337,-122.66888200000001,45.625653,02-MAR-2022337,45.670767643278324,-122.66507688402284
230,152570206,02-MAR-20,1776,20826,22342,-122.669583,45.624912,02-MAR-2022342,45.669675358423305,-122.66563152467693
231,152570206,02-MAR-20,1776,20924,22347,-122.670383,45.624221999999996,02-MAR-2022347,45.66858427687688,-122.66623099672768
232,152570206,02-MAR-20,1776,21018,22352,-122.671223,45.623591999999995,02-MAR-2022352,45.66750282489949,-122.66682509446397
233,152570206,02-MAR-20,1776,21099,22357,-122.67195500000001,45.623052,02-MAR-2022357,45.66635954450954,-122.6672292462408
234,152570206,02-MAR-20,1776,21164,22362,-122.67253999999998,45.622613,02-MAR-2022362,45.66516177975318,-122.6673914745155
235,152570206,02-MAR-20,1776,21221,22367,-122.67296699999999,45.62219,02-MAR-2022367,45.66394435196496,-122.66729243122201
236,152570206,02-MAR-20,1776,21333,22377,-122.673565,45.621266999999996,02-MAR-2022377,45.66277238208923,-122.66692929359287
237,152570206,02-MAR-20,1776,21398,22382,-122.673877,45.620727,02-MAR-2022382,45.66162513689593,-122.66646636341666
238,152570206,02-MAR-20,1776,21469,22387,-122.674227,45.620133,02-MAR-2022387,45.66047499609997,-122.6659950706849
239,152570206,02-MAR-20,1776,21538,22392,-122.674567,45.619557,02-MAR-2022392,45.65929742541857,-122.66553220491053
240,152570206,02-MAR-20,1776,21609,22397,-122.674927,45.618968,02-MAR-2022397,45.658113423234624,-122.66505543186881
241,152570206,02-MAR-20,1776,21682,22402,-122.675288,45.618363,02-MAR-2022402,45.656960785467604,-122.66458760490971
242,152570206,02-MAR-20,1776,21756,22407,-122.67566299999999,45.617745,02-MAR-2022407,45.65582214688438,-122.66413138778493
243,152570206,02-MAR-20,1776,21836,22412,-122.676055,45.617084999999996,02-MAR-2022412,45.65470365076582,-122.66369660950808
244,152570206,02-MAR-20,1776,21920,22417,-122.676475,45.61639,02-MAR-2022417,45.65360484043212,-122.66324865722534
245,152570206,02-MAR-20,1776,22008,22422,-122.67691699999999,45.615657,02-MAR-2022422,45.65251878735086,-122.66280592366893
246,152570206,02-MAR-20,1776,22099,22427,-122.677375,45.614898,02-MAR-2022427,45.65147619773472,-122.66238092496425
247,152570206,02-MAR-20,1776,22187,22432,-122.67781799999999,45.61416,02-MAR-2022432,45.65047858761419,-122.66200007875895
248,152570206,02-MAR-20,1776,22295,22438,-122.678357,45.61326,02-MAR-2022438,45.64854921509206,-122.66184033375902
249,152570206,02-MAR-20,1776,22385,22443,-122.67878999999999,45.612497999999995,02-MAR-2022443,45.647624699243295,-122.66185498526582
250,152570206,02-MAR-20,1776,22474,22448,-122.67919199999999,45.611745,02-MAR-2022448,45.646684551199584,-122.6618702799748
251,152570206,02-MAR-20,1776,22583,22454,-122.67967,45.610818,02-MAR-2022454,45.645744545871516,-122.66188665407569
252,152570206,02-MAR-20,1776,22680,22459,-122.680123,45.610007,02-MAR-2022459,45.6448647997971,-122.66191082040784
253,152570206,02-MAR-20,1776,22775,22464,-122.68060200000001,45.609203,02-MAR-2022464,45.64404498868671,-122.66196004408665
254,152570206,02-MAR-20,1776,22873,22469,-122.681082,45.608393,02-MAR-2022469,45.64326265703659,-122.66196745694843
255,152570206,02-MAR-20,1776,22975,22474,-122.681572,45.60754,02-MAR-2022474,45.64248661109684,-122.6619912000243
256,152570206,02-MAR-20,1776,23078,22479,-122.68201699999999,45.606657,02-MAR-2022479,45.64165692504998,-122.66200579048233
